Organisation,Country,Status,Official name (+source),Also known as,Website,Instagram,Est. company size,Primary customers,Year founded,Ownership status,Core model,Geographic scope,Categories,Key partners / customers,Impact metrics,Conf: name,Conf: year,Conf: impact,Verification notes
Fill Refill Co,United Kingdom,Active,Fill Refill Co Limited (Companies House no. 11683937) — fillrefill.co/about-us,FILL REFILL CO; 'Fill' (fillrefill.co),https://www.fillrefill.co/,Not found in verified public sources,"Small / independent family-run manufacturer; SME (own factory in Finedon, Northamptonshire) — fillrefill.co/about-us. Exact headcount not found in verified public sources.",Consumers (DTC) plus independent retailers/refill stores and hospitality (e.g. Silo London); B2B bulk returnable containers — fillrefill.co; workforgood.co.uk,Company incorporated 19 November 2018 (Companies House no. 11683937); closed-loop 'rinse & return' launched 2020 — find-and-update.company-information.service.gov.uk/company/11683937; fillrefill.co/about-us,"Private limited company, independent and family-run; status Active — Companies House 11683937","UK manufacturer of refillable/returnable household, laundry, cleaning, hair and body care; closed-loop glass bottles + returnable bulk containers (Washtainer) — fillrefill.co",United Kingdom — fillrefill.co,"Household cleaning, laundry, hand/body, hair care; refill/closed-loop packaging — fillrefill.co","Milk & More (bottle return/wash logistics); collaborations with Silo London and OMNES; charity partner City to Sea; B Corp, 1% for the Planet, Leaping Bunny — uk.linkedin.com/company/fill-refill-co; theethicalguide.org","Company reports its Washtainer system passed its 100,001st returned glass bottle (LinkedIn); donates 1% of turnover to environmental causes via 1% for the Planet — uk.linkedin.com/company/fill-refill-co. No independently audited figures found.",High,High,Low,"Incorporation date (2018) is firm via Companies House; the brand frames its closed-loop launch as 2020 — distinguish 'incorporated' vs 'launched'. Impact claims are self-reported, not audited. Instagram handle not verified."
Clean Cult,United States,Active,Cleancult (Clean Cult) — cleancult.com; prnewswire.com,Clean Cult; Cleancult — cleancult.com,https://www.cleancult.com/,Not found in verified public sources (PR materials reference '@CleanCult' but not independently verified),Reported 11–50 employees (data aggregators Tracxn/LeadIQ) — tracxn.com; leadiq.com. Treat as approximate.,"Consumers via DTC subscription and major retail (Target, Costco, Walmart, Kroger, Wegmans, Amazon) — prnewswire.com",Sources conflict: product 'launched in 2019' (company PR) while databases list founding as 2016/2017 (CBInsights 2017; Tracxn 2016) — prnewswire.com; cbinsights.com; tracxn.com,"Private, venture/debt-funded (Series B + extensions; ~$5M Series B extension closed 2025; JPalmer Collective $5M financing Nov 2025) — prnewswire.com; cbinsights.com",Refillable home-cleaning system: reusable glass/aluminium dispensers refilled from recyclable paper-based cartons — cleancult.com; prnewswire.com,United States and Canada — prnewswire.com,"Household cleaning (hand soap, dish soap, all-purpose, laundry) — prnewswire.com","Retail partners Target, Costco, Walmart, Whole Foods, Kroger, Wegmans, Amazon; co-founders Ryan Lupberger (CEO) & Zachary Bedrosian — prnewswire.com; leadiq.com",Company claims its system reduces household plastic waste by ~90% and that mass adoption of its carton model could eliminate 'over 330 million pounds of plastic' annually — prnewswire.com. Self-reported; not independently audited.,High,Low,Low,"Founding year is genuinely ambiguous (2016 vs 2017 vs 2019 launch) and should be manually reconciled — likely incorporation 2016/17, commercial launch 2019. HQ listed variously as New York and Wellesley, MA. Instagram unverified."
Algramo,Chile,Active,Algramo — algramo.com; weforum.org,Algramo ('by the gram') — unep.org,https://algramo.com/en/,Not found in verified public sources,Not found in verified public sources (described as a scale-up/startup; headcount not disclosed in verified sources),Lower-income consumers via neighbourhood stores and home delivery; FMCG brand partners and retailers — weforum.org; closedlooppartners.com,"Sources conflict: 2011 (WEF), 2012 (Closed Loop Partners; Fondazione Carta Etica) and 2013 (UNEP; Harvard Business School; Ashoka) — weforum.org; closedlooppartners.com; hbs.edu; unep.org","Private, venture-backed; first institutional raise led by Closed Loop Partners (lead investor, board seat) end-2019; Certified B Corp (Empresa B) — closedlooppartners.com; fondazionecartaeticapackaging.org",RFID-enabled reusable 'smart packaging' / dispensers ('Packaging-as-a-Wallet') refilled in-store and via home delivery; pay 'by the gram' — weforum.org; hbs.edu,"Chile (Santiago) with pilots/expansion in USA (New York), Indonesia (Jakarta), UK (Lidl trial) and Mexico — trellis.net; theprint.in; unep.org","Household cleaning, personal care, pet food, staples (refill/dispensing) — weforum.org","Unilever, Nestlé/Purina, Colgate-Palmolive, Clorox, Walmart, Lidl; investor Closed Loop Partners — weforum.org; closedlooppartners.com; theprint.in","UNEP reports Algramo customers reused 900,000+ pieces of packaging since 2020, equivalent to 100,000+ kg of plastic avoided; operates in 2,000+ stores reaching 325,000+ customers in Santiago — unep.org; closedlooppartners.com",High,Low,Medium,"Founding year inconsistent across credible sources (2011–2013); 2013 is most commonly cited by academic/UN sources, 2012 by its lead investor — flag for manual decision. Founder José Manuel Moller. Impact figures self/UN-reported. Instagram unverified."
Again,United Kingdom,Active,Again (legal entity associated with brand 'Again' / 'poweredbyagain') — letsuseagain.com,Again; Powered by Again — letsuseagain.com; linkedin.com/company/poweredbyagain,https://www.letsuseagain.com/,Not found in verified public sources,Not found in verified public sources (early-stage startup; headcount not disclosed),B2B — FMCG brands and retailers/grocers needing reusable-packaging cleaning & reverse logistics — letsuseagain.com,2021 — pitchbook.com; dairyreporter.com,"Private, venture-backed; raised Ł2.55M / ~US$3.3M pre-seed (Eka Ventures and others) — tech.eu; dairyreporter.com","Decentralised 'CleanCell' automated reconditioning network (sort, clean, de-label, inspect, palletise) enabling brands to reuse packaging at single-use cost; 'Again Tag' tracking — letsuseagain.com; dairyreporter.com",United Kingdom — dairyreporter.com,Reusable packaging infrastructure / reverse logistics (B2B services) — letsuseagain.com,"Milk & More, The Modern Milkman, Abel & Cole; pilots with Budweiser Brewing Group, Diageo, Biffa; pub chains (Young's, Wetherspoon, Punch, Fuller's etc.); founder/CEO Matt Kennedy — dairyreporter.com; tech.eu; linkedin.com/company/poweredbyagain","Company states CleanCell uses 76% less water and 90% less energy than recycling, with 500,000 units/month capacity, 85%+ packaging returned and items reused 6+ times; pub-bottle reverse logistics cited at 62% CO2 reduction per bottle — letsuseagain.com; dairyreporter.com; tech.eu. Self-reported.",Medium,High,Low,"Exact registered legal entity name not confirmed from a primary registry in this pass (brand 'Again', LinkedIn 'poweredbyagain') — recommend Companies House check. Founding 2021 corroborated by PitchBook + trade press. Instagram unverified."
Loop,US / Japan / France,Active (TerraCycle unit),Loop (operated and managed by TerraCycle) — exploreloop.com; terracycle.com,Loop; Loop by TerraCycle — prnewswire.com,https://exploreloop.com/,Not found in verified public sources,Not found in verified public sources (operating unit of TerraCycle rather than standalone headcount),"Consumers, via retail partners; brands/CPGs and retailers as platform participants — weforum.org; prnewswire.com",Announced at Davos Jan 2019; first pilots launched May 2019 — en.wikipedia.org/wiki/Tom_Szaky; prnewswire.com; theshelbyreport.com,"Founded and managed by TerraCycle; completed a $25M Series A 'Founding Investor' raise (investors incl. P&G, Nestlé, SUEZ, Aptar) — theshelbyreport.com","Global reuse platform: durable packaging delivered, returned, cleaned, refilled and reused (deposit/return 'milkman' model), online and in-store — weforum.org; prnewswire.com","Listed in master sheet as US, Japan, France; historically also piloted in UK/Canada/Germany. As of 2024 strongest active presence in France via Carrefour — linkedin.com/company/chooseloop; en.wikipedia.org/wiki/Tom_Szaky","Multi-category reuse platform (groceries, cleaning, personal care, beverages) — letsrecycle.com","Carrefour, Tesco (trial 2021–22, since wound up), Kroger, Walgreens, P&G, Nestlé, Unilever, Coca-Cola, PepsiCo, Danone — letsrecycle.com; weforum.org","Loop states packaging is reused, cleaned and refilled, in some cases more than 100 times (typically 20–100 uses); has enlisted 100+ brands / ~400 products — weforum.org; theshelbyreport.com. Self-reported.",High,High,Medium,Loop is not a standalone company — it is a TerraCycle initiative; ownership/financials sit with TerraCycle. Geographic footprint has contracted (e.g. Tesco UK trial ended 2022); current live markets should be re-verified manually. Instagram unverified.
Package Free Shop,United States,Active,Package Free (Package Free Shop) — packagefreeshop.com,Package Free; Package Free Shop — packagefreeshop.com,https://packagefreeshop.com/,Not found in verified public sources (founder Lauren Singer's personal blog is @trashisfortossers — distinct from the company),~50 staff cited by founder in 2020 (pre/early-pandemic); current size not found in verified public sources — thehelm.co,Consumers (DTC e-commerce; previously two NYC retail stores) — packagefreeshop.com; globalcitizen.org,"Founded 22 April 2017 (opened as a Williamsburg, Brooklyn pop-up) — packagefreeshop.com/pages/our-history",Private; raised $4.5M seed (announced 2019) — joingoodside.com; thehelm.co,Curated retailer/aggregator of low-/zero-waste products plus own brands (e.g. The Simply Co.); some refillable/aluminium packaging — packagefreeshop.com; thehelm.co,United States (online; historically NYC retail) — globalcitizen.org,"Zero-waste lifestyle, personal care, home, cleaning — packagefreeshop.com",Founder Lauren Singer; works with TerraCycle for hard-to-recycle waste — globalcitizen.org,Company/founder claims over 100 million pieces of trash kept out of landfill via Package Free — generalassemb.ly. Self-reported; not audited.,High,High,Low,Founding date precise (22 Apr 2017). Both NYC physical stores closed during COVID; now e-commerce-led. Do not conflate company Instagram with founder's @trashisfortossers. Instagram handle unverified.
Dizzie,United Kingdom,CEASED ~Nov 2024,Dizzie (formerly 'Good Club'); associated entity Dizzie Ltd — getdizzie.com; thegrocer.co.uk,Dizzie; formerly Good Club — creativereview.co.uk,https://getdizzie.com/,Not found in verified public sources,Very small at wind-down — 'final six employees' reported Nov 2024 — thegrocer.co.uk,Originally consumers (DTC zero-waste online supermarket); pivoted to B2B 'reusable packaging as a service' for retailers/brands — thegrocer.co.uk,"Good Club founded 2019; rebranded to Dizzie 2022 (a data aggregator lists 2016, likely incorporation of a predecessor) — creativereview.co.uk; cbinsights.com","Private; crowdfunded (Crowdcube) + Sustainable Ventures, Mustard Seed; APPEARS TO HAVE CEASED TRADING (reported shutting down Nov 2024) — thegrocer.co.uk; cbinsights.com","Reusable/returnable packaging system: empty pots for brands to fill, white-label finished products, plus cleaning/returns/tracking services — cbinsights.com; thegrocer.co.uk",United Kingdom — cbinsights.com,Reusable grocery packaging (B2B); previously refillable groceries (DTC) — thegrocer.co.uk,"Abel & Cole (Club Zero), Milk & More, The Modern Milkman; founder Ben Patten — thegrocer.co.uk; uk.linkedin.com/company/getdizzie","Reported its Abel & Cole reuse range improved customer retention by 2+ percentage points; PA Consulting design work projected its 'zero waste' pots saving 1M+ pieces of plastic and 139,000+ kg CO2/year — thegrocer.co.uk; paconsulting.com. Projections/self-reported.",Medium,Medium,Low,PRIORITY FLAG: Dizzie was reported shutting down in November 2024 — verify current operating status and any successor entity via Companies House. Founding year ambiguous (Good Club 2019 vs aggregator 2016). Website may still resolve despite closure. Instagram unverified.
TerraCycle,United States,Active,"TerraCycle (TerraCycle, Inc.) — terracycle.com",TerraCycle — en.wikipedia.org/wiki/Tom_Szaky,https://www.terracycle.com/en-US/,Not found in verified public sources,Not found in verified public sources as a precise headcount; operates in ~20–21 countries — theshelbyreport.com; thetycoonmedia.com,"Brands, retailers, cities and consumers (recycling programmes, collection, reuse via Loop) — thetycoonmedia.com","2001 (founded by Tom Szaky; began as worm-castings/fertiliser, pivoted to recycling ~2007) — thetycoonmedia.com; en.wikipedia.org/wiki/Tom_Szaky",Private; founder/CEO Tom Szaky; raised $150M+ capital at parent level and $25M for Loop — theshelbyreport.com,Specialty recycling of hard-to-recycle waste streams; runs reuse platform Loop — terracycle.com; thetycoonmedia.com,"Global — operations in ~20–21 countries; HQ Trenton, New Jersey, USA — theshelbyreport.com; thetycoonmedia.com",Recycling/waste management; reuse (Loop); regulated waste — thetycoonmedia.com,"P&G, Nestlé, major CPGs and retailers; UPS, SUEZ — weforum.org; theshelbyreport.com","Reported 2019 net sales $27.12M (+35% YoY) and net income $3.24M; describes recycling solutions for cigarette butts, diapers, contact lenses etc. — sustainnow.ch. Figures from a third-party summary; verify against filings.",High,High,Medium,Founding year 2001 well established. Country count varies (20 vs 21) by source/date. 2019 financials come from a secondary source — corroborate before publishing. Instagram unverified.
Blueland,United States,Active,"Blueland (Blueland, Inc. / The Blueland Company) — blueland.com",Blueland — blueland.com,https://www.blueland.com/,Not found in verified public sources,Not found in verified public sources as a precise figure (reported >$100M sales by 2022) — en.wikipedia.org/wiki/Sarah_Paiji_Yoo,"Consumers via DTC and major retail (Target, Costco, The Container Store, Amazon) — blueland.com",2019 — blueland.com; en.wikipedia.org/wiki/Sarah_Paiji_Yoo,"Private, venture-backed (~$35M raised; Prelude Growth Partners led $20M in 2022; Shark Tank deal with Kevin O'Leary); Certified B Corp — en.wikipedia.org/wiki/Sarah_Paiji_Yoo; housedigest.com; blueland.com","Refillable cleaning & personal-care tablets ('Forever Bottles' + dissolvable tablets), plastic-free/recyclable refills — blueland.com",United States — blueland.com,"Household cleaning, hand soap, laundry, dish, personal care (tablet/refill) — blueland.com","Co-founders Sarah Paiji Yoo (CEO) & John Mascari; chemist/CIO Syed Naqvi; retail partners Target, Costco — bbgventures.com; blueland.com",Company states it has helped divert over 1 billion single-use plastic bottles from landfills/oceans since 2019 and holds 40+ patents — blueland.com/articles/blueland-after-shark-tank. Self-reported; not independently audited.,High,High,Low,Founding 2019 firm (products launched Earth Day 2019; Shark Tank Season 11). '1 billion bottles diverted' is a company claim. Wikipedia dates the Shark Tank appearance to 2020 (air date) vs 2019 filming — minor. Instagram unverified.
